Latitude,Longitude,Weeks
31.78759289,-95.66147245,4
32.30506327,-102.6389106,6
28.88977022,-98.45287004,6
29.96801307,-96.46704822,5
34.06882614,-102.831972,2
29.74736291,-99.24626052,6
28.41723102,-97.74089484,3
31.03778043,-97.47791986,14
29.43358996,-98.46366086,6
29.43358996,-98.46366086,5
30.26620594,-98.39975955,14
32.74335609,-101.4316122,4
31.92704934,-97.63952966,6
30.7129376,-96.33395724,3
29.84124243,-103.4415165,3
31.77412703,-98.99989369,5
30.49245142,-96.62102062,3
30.78823192,-98.18271064,6
29.83674365,-97.6197848,6
29.83674365,-97.6197848,5
32.29770242,-99.37359879,7
34.53000166,-102.2628076,4
34.52920484,-100.2075651,4
33.60402265,-102.8285219,2
31.88847672,-100.5298722,4
31.77305449,-99.45359637,5
33.18784723,-96.57246881,2
34.96512704,-100.2712277,2
29.62071568,-96.52628,5
29.81184367,-98.32162677,14
31.32633547,-99.86410645,3
31.39079474,-97.79921364,14
34.07415958,-100.2588681,4
31.45713432,-102.5405804,4
30.68368153,-101.3130482,2
33.61451681,-101.2995781,4
36.27778457,-102.6029702,3
36.27778457,-102.6029702,4
32.76663321,-96.77706068,4
32.74251351,-101.9476122,4
34.96715782,-102.606278,2
33.4140424,-95.58236761,2
29.08198552,-97.35685713,3
33.61655018,-100.7793559,4
28.42159688,-99.76056907,3
32.29686399,-98.95669222,5
31.86910415,-102.5436141,4
29.98230271,-100.3051232,4
32.34774167,-96.73789585,4
32.21493524,-98.20298292,4
31.25313444,-96.93588547,2
32.74303975,-100.4016485,5
34.07230735,-101.3033034,4
34.00312275,-99.90472617,4
31.71509916,-96.13904058,4
28.86721402,-99.10825601,3
32.74096921,-102.6375925,11
33.17978981,-101.2987858,4
30.31847412,-98.76535674,6
31.86935182,-101.5207407,5
28.66077329,-97.46484532,3
29.45628065,-97.49305017,6
30.5433308,-95.98551556,3
29.582525,-97.94856251,14
34.07042543,-101.8269086,4
34.53068777,-100.6809898,2
31.73080342,-98.11383207,6
36.27745309,-101.3549664,4
34.25334122,-99.73627801,13
35.84007218,-102.6028863,4
30.00648827,-98.00360878,14
32.2119948,-95.85348972,4
31.89190957,-96.91323423,4
32.43107597,-97.83280182,4
33.15742678,-95.58179939,2
32.30602999,-101.4355157,5
33.12336511,-96.08557222,3
31.30387395,-100.9824144,4
28.97094599,-96.62513371,4
32.37898304,-97.36665229,4
32.73963911,-99.87850427,5
32.73963911,-99.87850427,4
28.90483234,-97.85967428,5
32.60018834,-96.29665178,4
29.94094905,-98.6681816,6
33.18278584,-100.7791024,4
30.00527472,-99.12584363,6
30.50043118,-99.70857277,4
33.61635339,-100.255855,4
29.34987256,-100.4178723,6
33.60182187,-99.73383944,4
33.66739952,-95.57106041,2
34.06907066,-102.3536686,4
31.23404258,-98.2362823,14
29.38427406,-96.93012258,4
31.54530063,-96.58040264,4
28.3511205,-98.12464645,3
30.70561278,-98.68384662,6
31.85458533,-103.6499338,4
33.61013382,-101.820573,4
33.17697816,-101.8166358,4
32.30598886,-101.951251,5
30.7199294,-99.2237829,6
28.7420713,-100.3141586,6
31.54966785,-97.20315429,6
29.35507532,-99.11007846,6
30.8989301,-99.79973267,3
31.86913827,-102.0315008,3
32.3069298,-100.9225642,5
34.07400057,-100.7798965,4
32.04695414,-96.4725915,4
32.30339527,-100.4061006,6
32.30339527,-100.4061006,4
32.75952948,-98.31979881,2
32.77892233,-97.80348613,4
34.53026132,-102.785201,2
30.78083571,-102.7234108,4
32.87003531,-95.7934386,2
34.96566363,-101.8966063,2
31.36598415,-101.5230148,4
29.84927246,-99.83328682,5
33.62063808,-95.05006912,2
31.32261335,-103.6927201,4
32.89785973,-96.40780541,3
31.83092846,-99.97624771,4
30.89789492,-100.3269825,2
32.74768406,-100.9158022,4
32.73595338,-99.35402995,6
36.27760674,-101.893381,4
32.34345061,-95.13352574,2
32.22306561,-97.78025253,4
31.82770015,-101.0500947,5
33.17874189,-100.258509,2
34.53061887,-101.7355013,4
32.77057612,-97.2918891,4
32.3013092,-99.89004079,7
32.3013092,-99.89004079,4
30.22464218,-102.0766293,3
33.17367713,-102.3351579,4
31.39048997,-100.3997857,4
30.25273957,-97.77456398,5
31.36835935,-102.0429873,5
29.35606337,-99.76213961,5
29.8174381,-100.962708,3
32.55676537,-95.76386313,4
30.01073934,-95.98767857,3
31.50958858,-103.1023427,4
30.2093044,-96.43775349,4
29.27771142,-96.22208003,5
30.67789203,-97.5986987,3
29.17459104,-98.06786462,6
29.17459104,-98.06786462,5
31.85012449,-103.0485329,4
33.17285769,-102.8278833,4
28.86528751,-99.76101732,5
