NAME,Longitude,Latitude
Anderson,-95.661472,31.787593
Andrews,-102.638911,32.305063
Angelina,-94.611461,31.254757
Aransas,-97.042446,28.246385
Archer,-98.686370,33.615437
Armstrong,-101.358375,34.965195
Atascosa,-98.452870,28.889770
Austin,-96.467048,29.968013
Bailey,-102.831972,34.068826
Bandera,-99.246261,29.747363
Bastrop,-97.335447,30.104615
Baylor,-99.214173,33.616262
Bee,-97.740895,28.417231
Bell,-97.477920,31.037780
Bexar,-98.463661,29.433590
Blanco,-98.399760,30.266206
Borden,-101.431612,32.743356
Bosque,-97.639530,31.927049
Bowie,-94.578782,33.441180
Brazoria,-95.459867,29.198261
Brazos,-96.333957,30.712938
Brewster,-103.441517,29.841242
Briscoe,-101.208894,34.530343
Brooks,-98.120536,27.021726
Brown,-98.999894,31.774127
Burleson,-96.621021,30.492451
Burnet,-98.182711,30.788232
Caldwell,-97.619785,29.836744
Calhoun,-96.679356,28.512706
Callahan,-99.373599,32.297702
Cameron,-97.684117,26.174416
Camp,-95.045646,32.986165
Carson,-101.355173,35.403395
Cass,-94.347399,33.067732
Castro,-102.262808,34.530002
Chambers,-94.508939,29.715140
Cherokee,-95.161472,31.861014
Childress,-100.207565,34.529205
Clay,-98.189582,33.790635
Cochran,-102.828522,33.604023
Coke,-100.529872,31.888477
Coleman,-99.453596,31.773054
Collin,-96.572469,33.187847
Collingsworth,-100.271228,34.965127
Colorado,-96.526280,29.620716
Comal,-98.321627,29.811844
Comanche,-98.557667,31.950177
Concho,-99.864106,31.326335
Cooke,-97.352842,33.637418
Coryell,-97.799214,31.390795
Cottle,-100.258868,34.074160
Crane,-102.540580,31.457134
Crockett,-101.313048,30.683682
Crosby,-101.299578,33.614517
Culberson,-104.480019,31.458303
Dallam,-102.602970,36.277785
Dallas,-96.777061,32.766633
Dawson,-101.947612,32.742514
Deaf Smith,-102.606278,34.967158
Delta,-95.582368,33.414042
Denton,-97.114629,33.203467
Dewitt,-97.356857,29.081986
Dickens,-100.779356,33.616550
